Study,Trt,Cow,FCM
2,A,27,29.98
2,A,28,33.39
2,A,29,36.25
2,A,30,37.63
2,A,31,37.4
2,A,32,37.3
2,A,33,35.71
2,A,34,36.83
2,A,35,36.19
2,A,36,31.39
2,A,37,37.69
2,A,38,39
2,A,39,38.44
2,A,40,37.94
2,A,41,34.12
2,A,42,33.64
2,A,43,37.51
2,A,44,36.18
2,A,45,37.25
2,A,46,38.26
2,B,47,38.7
2,B,48,36.15
2,B,49,39.9
2,B,50,38.64
2,B,51,40.14
2,B,52,32.79
2,B,53,36.5
2,B,54,41.98
2,B,55,37.41
2,B,56,40.8
2,B,57,31.79
2,B,58,43.51
2,B,59,34.73
2,B,60,39.25
2,B,61,35.91
2,B,62,39.87
2,B,63,40.36
2,B,64,43.04
2,B,65,37.06
2,B,66,38.4
2,B,67,39.25
2,B,68,33.09
2,B,69,42.02
2,B,70,42.01
2,B,71,43.1
2,B,72,34.64
2,B,73,28.78
2,B,74,32.78
2,B,75,38.96
2,B,76,41.23
2,B,77,35.58
2,B,78,35.23
2,B,79,38.74
2,B,80,34.6
2,B,81,36.56
2,B,82,40.14
2,B,83,32.38
2,B,84,37.67
2,B,85,33.34
2,B,86,40.63
2,B,87,28.78
2,B,88,35.01
2,B,89,30.62
2,B,90,39.18
2,B,91,40.11
2,B,92,39.56
3,A,1,34.23
3,A,2,28.21
3,A,3,30.88
3,A,4,38.08
3,A,5,34
3,A,6,35.75
3,A,7,29.98
3,A,8,31.14
3,A,9,31.52
3,A,10,32.97
3,A,11,40.08
3,A,12,34.09
3,A,13,34.58
3,A,14,30.07
3,A,15,32.68
3,A,16,37.13
3,A,17,32.87
3,A,18,35.54
3,A,19,35.5
3,A,20,34.23
3,A,21,29.47
3,A,22,33.33
3,A,23,34.39
3,A,24,34.56
3,A,25,37.19
3,A,26,34.88
3,A,27,34.52
3,A,28,25.55
3,A,29,39.23
3,A,30,30.25
3,A,31,39.21
3,A,32,30.6
3,A,33,34.1
3,A,34,29.46
3,A,35,36.83
3,A,36,37.5
3,A,37,36.83
3,A,38,31.54
3,A,39,29.48
3,A,40,34.78
3,A,41,35.48
3,A,42,32.8
3,B,43,35.43
3,B,44,44.69
3,B,45,39.15
3,B,46,35.12
3,B,47,38.71
3,B,48,38.69
3,B,49,38.21
3,B,50,40.06
3,B,51,38.99
3,B,52,37.57
3,B,53,33.68
3,B,54,40.56
3,B,55,36.21
3,B,56,40.57
3,B,57,40.05
3,B,58,32.98
3,B,59,35.83
3,B,60,36.17
3,B,61,37.34
3,B,62,32.96
3,B,63,35.5
3,B,64,36.19
3,B,65,37.69
3,B,66,41.07
3,B,67,32.09
3,B,68,43.87
3,B,69,41.21
3,B,70,39.48
3,B,71,33.39
3,B,72,43.26
3,B,73,41
3,B,74,36.9
3,B,75,31.18
3,B,76,34.82
3,B,77,37.11
3,B,78,38.54
3,B,79,31.06
3,B,80,34.07
3,B,81,39.45
3,B,82,40.57
3,B,83,37.85
3,B,84,34.48
4,A,1,42.81
4,A,2,47.37
4,A,3,37.25
4,A,4,41.07
4,A,5,45.47
4,A,6,44.99
4,A,7,45.66
4,A,8,47.07
4,A,9,45.97
4,A,10,44.58
4,A,11,37.89
4,A,12,36.62
4,A,13,38.31
4,A,14,47.17
4,A,15,48.64
4,A,16,42.38
4,A,17,40.75
4,A,18,45.09
4,A,19,45.11
4,A,20,43.15
4,A,21,42.69
4,A,22,38.25
4,A,23,46.1
4,A,24,43.56
4,A,25,40.87
4,A,26,45.34
4,A,27,42.47
4,A,28,45.1
4,A,29,46.37
4,A,30,49.34
4,A,31,44.55
4,A,32,42.43
4,A,33,38.47
4,A,34,42.12
4,A,35,52.64
4,A,36,44.27
4,A,37,49.9
4,A,38,46.27
4,A,39,45
4,A,40,41.05
4,A,41,42.01
4,A,42,43.04
4,A,43,42.78
4,A,44,45.45
4,A,45,41.72
4,A,46,44.33
4,A,47,50.21
4,A,48,48.37
4,A,49,47.67
4,A,50,37.72
4,A,51,44.08
4,A,52,43.3
4,B,53,43.48
4,B,54,43.9
4,B,55,42.94
4,B,56,42.83
4,B,57,42.89
4,B,58,47.07
4,B,59,45.58
4,B,60,39.79
4,B,61,37.21
4,B,62,37.4
4,B,63,40.58
4,B,64,43.28
4,B,65,42.96
4,B,66,36.68
4,B,67,44.87
4,B,68,46.58
4,B,69,44.7
4,B,70,41.88
4,B,71,37.98
4,B,72,41.22
4,B,73,39.51
4,B,74,40.84
4,B,75,47.08
4,B,76,42.7
4,B,77,36.58
4,B,78,38.62
4,B,79,42.54
4,B,80,37.09
4,B,81,40.36
4,B,82,44.17
4,B,83,41.77
4,B,84,41.33
4,B,85,39.23
4,B,86,39.32
4,B,87,36.68
4,B,88,42.32
4,B,89,43.3
4,B,90,35.39
4,B,91,41.22
4,B,92,43.57
4,B,93,44.91
4,B,94,43.37
4,B,95,42.76
4,B,96,44.68
4,B,97,44.32
4,B,98,42.23
4,B,99,41.36
4,B,100,45.39
4,B,101,41.64
4,B,102,42.5
4,B,103,36.89
4,B,104,36.74
5,A,1,36.41
5,A,2,35.58
5,A,3,33.47
5,A,4,30.35
5,A,5,31
5,A,6,36.56
5,A,7,35.2
5,A,8,34.95
5,A,9,35.3
5,A,10,36.17
5,A,11,37.98
5,A,12,35.87
5,A,13,32.46
5,A,14,33.42
5,A,15,35.56
5,A,16,33.47
5,A,17,39.39
5,A,18,37.22
5,A,19,31.71
5,A,20,39.33
5,A,21,37.66
5,A,22,39.2
5,A,23,31.06
5,A,24,35.97
5,A,25,42.02
5,A,26,34.33
5,A,27,42.53
5,A,28,38.9
5,A,29,37.9
5,A,30,35.65
5,A,31,28.18
5,A,32,31.24
5,A,33,41.24
5,A,34,37.1
5,A,35,40.51
5,A,36,36.01
5,A,37,35.24
5,A,38,36.27
5,A,39,35.2
5,A,40,32.89
5,A,41,35.26
5,A,42,36.04
5,A,43,29.03
5,A,44,39.34
5,B,45,42.64
5,B,46,47.04
5,B,47,42.33
5,B,48,42.09
5,B,49,46.19
5,B,50,49.32
5,B,51,50.34
5,B,52,43.49
5,B,53,46.33
5,B,54,46.61
5,B,55,42.94
5,B,56,40.54
5,B,57,38.83
5,B,58,42.63
5,B,59,40.82
5,B,60,48.13
5,B,61,38.47
5,B,62,45.13
5,B,63,48.44
5,B,64,42.76
5,B,65,44.52
5,B,66,44.77
5,B,67,46.04
5,B,68,42.73
5,B,69,48.32
5,B,70,41.81
5,B,71,38.11
5,B,72,44.23
5,B,73,44.1
5,B,74,41.72
5,B,75,41.24
5,B,76,42.5
5,B,77,40.77
5,B,78,49
5,B,79,47.78
5,B,80,42.47
5,B,81,45.11
5,B,82,48.37
5,B,83,42.21
5,B,84,42.1
5,B,85,41.88
5,B,86,43.57
5,B,87,41.96
5,B,88,41.21
6,A,1,41.96
6,A,2,47.15
6,A,3,51.79
6,A,4,49.06
6,A,5,47.81
6,A,6,47.05
6,A,7,39.16
6,A,8,50.78
6,A,9,53.15
6,A,10,46.42
6,A,11,47.78
6,A,12,55.96
6,A,13,46.8
6,A,14,44.65
6,A,15,47.32
6,A,16,45.06
6,A,17,44.11
6,A,18,49.28
6,A,19,50.45
6,A,20,44.8
6,A,21,49.39
6,A,22,46.4
6,A,23,51.1
6,A,24,48.16
6,A,25,43.11
6,A,26,54.87
6,A,27,47.75
6,A,28,47.47
6,A,29,44.71
6,A,30,47.22
6,A,31,44.77
6,A,32,46.61
6,A,33,48.73
6,A,34,46.46
6,A,35,44.04
6,A,36,49.07
6,A,37,49.25
6,A,38,45.3
6,A,39,46.73
6,A,40,49.55
6,A,41,44.63
6,A,42,49.27
6,A,43,48.68
6,A,44,42.18
6,A,45,41.89
6,A,46,50.19
6,A,47,47.52
6,A,48,45.43
6,A,49,40.37
6,A,50,45.89
6,A,51,47.85
6,A,52,42.73
6,A,53,45.77
6,A,54,47.84
6,B,55,45.91
6,B,56,43.81
6,B,57,44.33
6,B,58,46.98
6,B,59,47.71
6,B,60,49.82
6,B,61,47.58
6,B,62,44.63
6,B,63,42.98
6,B,64,46.4
6,B,65,46.5
6,B,66,42.03
6,B,67,47.21
6,B,68,50.68
6,B,69,45.34
6,B,70,52.16
6,B,71,46.66
6,B,72,46.78
6,B,73,54.74
6,B,74,47.19
6,B,75,47.44
6,B,76,51.01
6,B,77,45.06
6,B,78,44.15
6,B,79,47.31
6,B,80,48.01
6,B,81,44.5
6,B,82,47.4
6,B,83,52.44
6,B,84,44.1
6,B,85,41.05
6,B,86,48.4
6,B,87,47.1
6,B,88,48.13
6,B,89,44.66
6,B,90,44.86
6,B,91,47.23
6,B,92,51.91
6,B,93,48.45
6,B,94,51.29
6,B,95,39.27
6,B,96,43.66
6,B,97,46.34
6,B,98,39.91
6,B,99,45.09
6,B,100,44.12
6,B,101,50.21
6,B,102,43.45
6,B,103,46.08
6,B,104,45.96
6,B,105,46.21
6,B,106,42.27
6,B,107,43.74
6,B,108,47.16
7,A,1,37.16
7,A,2,42.46
7,A,3,38.34
7,A,4,38.3
7,A,5,39.99
7,A,6,37.95
7,A,7,35.18
7,A,8,35.18
7,A,9,37.32
7,A,10,35.84
7,A,11,34.54
7,A,12,35.57
7,A,13,37.4
7,A,14,35.68
7,A,15,37.87
7,A,16,36.05
7,A,17,39.63
7,A,18,36.57
7,A,19,38.65
7,A,20,40.61
7,A,21,37.29
7,A,22,40.86
7,A,23,32.97
7,A,24,36.7
7,A,25,36.11
7,A,26,34.3
7,A,27,38.41
7,A,28,43.21
7,A,29,40.79
7,A,30,34.18
7,A,31,36.25
7,A,32,36.48
7,A,33,39.83
7,A,34,36.38
7,A,35,34.57
7,A,36,33.65
7,A,37,37.8
7,A,38,35.86
7,A,39,32.16
7,A,40,35.43
7,A,41,40.48
7,A,42,35.17
7,B,43,36.62
7,B,44,38.9
7,B,45,46.95
7,B,46,38.34
7,B,47,39.53
7,B,48,40.94
7,B,49,40.25
7,B,50,35.12
7,B,51,35.74
7,B,52,38.46
7,B,53,41.94
7,B,54,38.21
7,B,55,36.5
7,B,56,40.19
7,B,57,38.06
7,B,58,46.49
7,B,59,33.52
7,B,60,32.26
7,B,61,42.19
7,B,62,43.97
7,B,63,41.13
7,B,64,41.6
7,B,65,41.54
7,B,66,41.09
7,B,67,31.72
7,B,68,42.57
7,B,69,41.85
7,B,70,44.79
7,B,71,38.43
7,B,72,38.36
7,B,73,41.8
7,B,74,36.16
7,B,75,29.84
7,B,76,37.4
7,B,77,37.61
7,B,78,40.44
7,B,79,44.1
7,B,80,38.32
7,B,81,32.96
7,B,82,38.95
7,B,83,36.49
7,B,84,44.62
8,A,1,40.47
8,A,2,34.07
8,A,3,37.3
8,A,4,30.8
8,A,5,32.09
8,A,6,40.59
8,A,7,38.47
8,A,8,37.01
8,A,9,33.52
8,A,10,42.15
8,A,11,38.15
8,A,12,34.72
8,A,13,41.87
8,A,14,41.3
8,A,15,36.98
8,A,16,34.49
8,A,17,32.4
8,A,18,38.05
8,A,19,37.27
8,A,20,31.77
8,A,21,34.37
8,A,22,38.79
8,A,23,38.95
8,A,24,38.72
8,A,25,36.75
8,A,26,40.33
8,A,27,34.89
8,A,28,39.26
8,A,29,36.57
8,A,30,37.8
8,A,31,40.38
8,A,32,35.97
8,A,33,38.28
8,A,34,43.97
8,A,35,39.72
8,A,36,31.09
8,A,37,36.54
8,A,38,37.64
8,A,39,40.25
8,A,40,39.26
8,A,41,37.29
8,A,42,37.92
8,A,43,40.39
8,A,44,40.79
8,A,45,38.16
8,A,46,38.74
8,A,47,40.06
8,A,48,38.02
8,A,49,38.28
8,A,50,33.21
8,A,51,35.74
8,A,52,42.11
8,A,53,36.53
8,A,54,36.93
8,A,55,36.78
8,A,56,38.77
8,A,57,42.39
8,A,58,36.13
8,A,59,35.52
8,A,60,39.36
8,B,61,39.65
8,B,62,42.11
8,B,63,39.91
8,B,64,42.64
8,B,65,41.71
8,B,66,44.31
8,B,67,41.22
8,B,68,40.29
8,B,69,39.75
8,B,70,42.14
8,B,71,42.26
8,B,72,40.8
8,B,73,39.52
8,B,74,41.94
8,B,75,43.73
8,B,76,38.27
8,B,77,37.78
8,B,78,39.46
8,B,79,38.3
8,B,80,42.8
8,B,81,41.16
8,B,82,35.96
8,B,83,39.45
8,B,84,46.72
8,B,85,42.38
8,B,86,40.36
8,B,87,39.89
8,B,88,31.33
8,B,89,45.67
8,B,90,41.42
8,B,91,40.01
8,B,92,37.73
8,B,93,41.2
8,B,94,33.83
8,B,95,35.51
8,B,96,39.95
8,B,97,35.6
8,B,98,38.38
8,B,99,34.93
8,B,100,42.09
8,B,101,39.2
8,B,102,38.85
8,B,103,40.8
8,B,104,40.33
8,B,105,43.85
8,B,106,35.08
8,B,107,38.68
8,B,108,41.98
8,B,109,46.17
8,B,110,35.93
8,B,111,42.32
8,B,112,41.9
8,B,113,43.27
8,B,114,35.29
8,B,115,39.92
8,B,116,43.09
8,B,117,42.61
8,B,118,38.64
8,B,119,36.68
8,B,120,40.28
9,A,1,42.7
9,A,2,43.25
9,A,3,37.48
9,A,4,42.5
9,A,5,43.83
9,A,6,44.48
9,A,7,41.79
9,A,8,40.86
9,A,9,47.24
9,A,10,43.81
9,A,11,40.48
9,A,12,43.55
9,A,13,33.76
9,A,14,39.11
9,A,15,38.61
9,A,16,44.03
9,A,17,35.79
9,A,18,43.56
9,A,19,42.9
9,A,20,44.66
9,A,21,40.58
9,A,22,29.34
9,A,23,41.73
9,A,24,38.56
9,A,25,35.37
9,A,26,39.33
9,A,27,42.11
9,A,28,49.61
9,A,29,42.76
9,A,30,39.07
9,A,31,38.87
9,A,32,39.83
9,A,33,44.47
9,A,34,39.22
9,A,35,41.18
9,A,36,45.59
9,A,37,42.16
9,A,38,44.6
9,A,39,35.32
9,A,40,42.92
9,A,41,40.58
9,A,42,35.32
9,A,43,40.28
9,A,44,39.05
9,A,45,40.93
9,A,46,43.37
9,A,47,41.65
9,A,48,37.84
9,B,49,38.52
9,B,50,41.71
9,B,51,41.36
9,B,52,44.08
9,B,53,39.67
9,B,54,39.18
9,B,55,44.13
9,B,56,40.43
9,B,57,45.7
9,B,58,42.85
9,B,59,44.32
9,B,60,43.99
9,B,61,47.45
9,B,62,46.73
9,B,63,44.41
9,B,64,48.22
9,B,65,41.37
9,B,66,39.41
9,B,67,45.23
9,B,68,43.81
9,B,69,35.8
9,B,70,41.69
9,B,71,42.81
9,B,72,39.83
9,B,73,39.39
9,B,74,32.69
9,B,75,40.9
9,B,76,39.92
9,B,77,49.16
9,B,78,40.38
9,B,79,44.07
9,B,80,43.83
9,B,81,44.53
9,B,82,41.47
9,B,83,45.57
9,B,84,39.73
9,B,85,41.33
9,B,86,46.19
9,B,87,42.3
9,B,88,43.82
9,B,89,43.21
9,B,90,48.17
9,B,91,48.82
9,B,92,47.75
9,B,93,39.53
9,B,94,49.63
9,B,95,41.9
9,B,96,43.32
10,A,1,37.51
10,A,2,38.51
10,A,3,38.88
10,A,4,35.4
10,A,5,43.51
10,A,6,31.18
10,A,7,36.08
10,A,8,37.18
10,A,9,44.64
10,A,10,38.45
10,A,11,33.88
10,A,12,37.32
10,A,13,45.49
10,A,14,33.29
10,A,15,34.6
10,A,16,36.17
10,A,17,35.77
10,A,18,37.6
10,A,19,40.54
10,A,20,35.13
10,A,21,39.42
10,A,22,37.19
10,A,23,39.21
10,A,24,35.04
10,A,25,35.63
10,A,26,36.43
10,A,27,38.91
10,A,28,35.38
10,A,29,40.71
10,A,30,37.99
10,A,31,35.07
10,A,32,35.35
10,A,33,35.13
10,A,34,39.03
10,A,35,43.52
10,A,36,39.03
10,A,37,42.53
10,A,38,34.42
10,A,39,33.59
10,A,40,43.42
10,A,41,41.97
10,A,42,37.35
10,A,43,36.04
10,A,44,35.31
10,A,45,40.78
10,A,46,39.31
10,A,47,41.03
10,A,48,46.61
10,A,49,38.91
10,A,50,40.21
10,A,51,39.17
10,A,52,40.23
10,A,53,43.95
10,A,54,36.7
10,A,55,36.25
10,A,56,37.93
10,A,57,33.17
10,A,58,38.89
10,A,59,38.54
10,A,60,39.04
10,B,61,34.78
10,B,62,38.28
10,B,63,39.71
10,B,64,38.77
10,B,65,38.59
10,B,66,42.47
10,B,67,33.08
10,B,68,39.74
10,B,69,39.47
10,B,70,38.48
10,B,71,42.18
10,B,72,37.23
10,B,73,35.57
10,B,74,40.26
10,B,75,49.02
10,B,76,44.93
10,B,77,41.96
10,B,78,38.08
10,B,79,43.32
10,B,80,40.4
10,B,81,40.32
10,B,82,34.88
10,B,83,41.49
10,B,84,39.22
10,B,85,39.24
10,B,86,41.56
10,B,87,37.33
10,B,88,39.83
10,B,89,38.03
10,B,90,39.81
10,B,91,35.52
10,B,92,37.49
10,B,93,38.33
10,B,94,39.57
10,B,95,37.59
10,B,96,39.16
10,B,97,34.01
10,B,98,32.71
10,B,99,41.26
10,B,100,35.57
10,B,101,39.26
10,B,102,41.31
10,B,103,40.36
10,B,104,32.05
10,B,105,41.56
10,B,106,38.5
10,B,107,39.33
10,B,108,43.23
10,B,109,36.15
10,B,110,39.06
10,B,111,37.47
10,B,112,37.83
10,B,113,35.29
10,B,114,36.44
10,B,115,33.31
10,B,116,35.37
10,B,117,41.98
10,B,118,39.86
10,B,119,37.32
10,B,120,36.55
11,A,1,46.45
11,A,2,44.46
11,A,3,40.32
11,A,4,33.36
11,A,5,45.23
11,A,6,37.65
11,A,7,38.64
11,A,8,40.57
11,A,9,36.44
11,A,10,33.58
11,A,11,38.65
11,A,12,34.09
11,A,13,41.34
11,A,14,36.97
11,A,15,43.05
11,A,16,35.3
11,A,17,39.58
11,A,18,39.81
11,A,19,34.62
11,A,20,41.8
11,A,21,36.68
11,A,22,39.29
11,A,23,39.31
11,A,24,38
11,A,25,39.97
11,A,26,38.17
11,A,27,38.15
11,A,28,33.34
11,A,29,41.68
11,A,30,39.81
11,A,31,36.61
11,A,32,34.62
11,A,33,38.44
11,A,34,41.47
11,A,35,40.17
11,A,36,43.89
11,A,37,36.56
11,A,38,36.37
11,A,39,39.21
11,A,40,39.98
11,A,41,41.25
11,A,42,41.39
11,A,43,36.55
11,A,44,33
11,A,45,39.2
11,A,46,37.58
11,B,47,45.95
11,B,48,43.03
11,B,49,43.55
11,B,50,41.3
11,B,51,46.09
11,B,52,43.21
11,B,53,46.96
11,B,54,39.05
11,B,55,44.71
11,B,56,40.66
11,B,57,46.03
11,B,58,42.41
11,B,59,42.41
11,B,60,48.74
11,B,61,45.11
11,B,62,39.28
11,B,63,42.51
11,B,64,37.55
11,B,65,45.57
11,B,66,43.64
11,B,67,44.25
11,B,68,44.71
11,B,69,37.85
11,B,70,45.77
11,B,71,41.21
11,B,72,45.14
11,B,73,42.54
11,B,74,49.62
11,B,75,40.56
11,B,76,45.88
11,B,77,39.26
11,B,78,46.16
11,B,79,40.82
11,B,80,48.96
11,B,81,40.14
11,B,82,44.81
11,B,83,36.53
11,B,84,41.37
11,B,85,46.02
11,B,86,40.35
11,B,87,39.33
11,B,88,39.86
11,B,89,42.62
11,B,90,43.05
11,B,91,38.29
11,B,92,48.83
12,A,1,39.95
12,A,2,36.78
12,A,3,33.04
12,A,4,33.12
12,A,5,36.38
12,A,6,35.07
12,A,7,35.31
12,A,8,29.92
12,A,9,36.24
12,A,10,35.87
12,A,11,31.15
12,A,12,30.34
12,A,13,35.43
12,A,14,33.89
12,A,15,34.44
12,A,16,34.19
12,A,17,32.94
12,A,18,36.55
12,A,19,37.79
12,A,20,35.24
12,A,21,33.39
12,A,22,37.48
12,A,23,38.01
12,A,24,28.49
12,A,25,35.72
12,A,26,29.46
12,A,27,36.22
12,A,28,32.39
12,A,29,37.42
12,A,30,31.48
12,A,31,36.32
12,A,32,32.35
12,A,33,39.41
12,A,34,34.75
12,A,35,35.89
12,A,36,39.01
12,A,37,34.71
12,A,38,33.17
12,A,39,39.89
12,A,40,36.59
12,A,41,35.24
12,A,42,32.17
12,A,43,34.06
12,A,44,37.69
12,A,45,33.51
12,A,46,35.49
12,A,47,33.86
12,A,48,33.73
12,A,49,39.8
12,A,50,41.11
12,A,51,31.66
12,A,52,32.8
12,A,53,36.17
12,A,54,33.72
12,A,55,33.35
12,A,56,30.61
12,A,57,39.14
12,A,58,35.57
12,B,59,37.52
12,B,60,40.24
12,B,61,35.12
12,B,62,36.98
12,B,63,43.43
12,B,64,41.16
12,B,65,41.62
12,B,66,40.39
12,B,67,38.47
12,B,68,42.92
12,B,69,39.24
12,B,70,40.1
12,B,71,39.69
12,B,72,42.38
12,B,73,44.14
12,B,74,36.04
12,B,75,41.69
12,B,76,39.13
12,B,77,43.22
12,B,78,40.48
12,B,79,42.61
12,B,80,42.67
12,B,81,36.91
12,B,82,38.35
12,B,83,35.74
12,B,84,39.88
12,B,85,36.03
12,B,86,40.91
12,B,87,37.09
12,B,88,41.34
12,B,89,38.16
12,B,90,36.85
12,B,91,35.15
12,B,92,31.67
12,B,93,41.68
12,B,94,46.9
12,B,95,35.77
12,B,96,38.83
12,B,97,39.22
12,B,98,37.28
12,B,99,39.49
12,B,100,35.5
12,B,101,41.74
12,B,102,36.69
12,B,103,38.18
12,B,104,41.9
12,B,105,37.39
12,B,106,42.09
12,B,107,36.95
12,B,108,34.17
12,B,109,42.84
12,B,110,37.62
12,B,111,36.43
12,B,112,42.98
12,B,113,38.74
12,B,114,38.35
12,B,115,45.19
12,B,116,39.98
13,A,1,34.55
13,A,2,35.37
13,A,3,30.87
13,A,4,38.61
13,A,5,39.31
13,A,6,36.57
13,A,7,32.91
13,A,8,34.63
13,A,9,36.71
13,A,10,29.2
13,A,11,37.01
13,A,12,37.04
13,A,13,34.6
13,A,14,36.3
13,A,15,31
13,A,16,30.93
13,A,17,40.17
13,A,18,32.55
13,A,19,33.18
13,A,20,33.66
13,A,21,42.05
13,A,22,31.12
13,A,23,31.54
13,A,24,32.18
13,A,25,32.91
13,A,26,34.29
13,A,27,27.56
13,A,28,33.96
13,A,29,34.5
13,A,30,28.78
13,A,31,40.23
13,A,32,38.75
13,A,33,35.34
13,A,34,38.82
13,A,35,34.94
13,A,36,41.63
13,A,37,33.37
13,A,38,33.1
13,A,39,35.17
13,A,40,33.44
13,A,41,35.68
13,A,42,36.86
13,A,43,36.34
13,A,44,32.83
13,A,45,37.76
13,A,46,36.53
13,A,47,40.88
13,A,48,32.51
13,A,49,36.9
13,A,50,31.4
13,A,51,30.5
13,A,52,33.22
13,A,53,35.23
13,A,54,34.69
13,B,55,36.25
13,B,56,33.65
13,B,57,37.76
13,B,58,36.26
13,B,59,41.03
13,B,60,42.09
13,B,61,42.75
13,B,62,40.35
13,B,63,35.74
13,B,64,36.48
13,B,65,42.59
13,B,66,37.84
13,B,67,35.52
13,B,68,44.07
13,B,69,38.59
13,B,70,37.87
13,B,71,35.61
13,B,72,39.66
13,B,73,40.25
13,B,74,37.6
13,B,75,36.25
13,B,76,37.49
13,B,77,33.75
13,B,78,41.37
13,B,79,36.2
13,B,80,40.71
13,B,81,40.27
13,B,82,42.45
13,B,83,42.91
13,B,84,39.18
13,B,85,36.16
13,B,86,32.57
13,B,87,38.32
13,B,88,44.88
13,B,89,36
13,B,90,35.71
13,B,91,39.27
13,B,92,45.11
13,B,93,37.54
13,B,94,35.36
13,B,95,32.92
13,B,96,38.23
13,B,97,43.24
13,B,98,40.16
13,B,99,36.58
13,B,100,39.84
13,B,101,40.56
13,B,102,37.95
13,B,103,37.49
13,B,104,32.73
13,B,105,45.92
13,B,106,40.19
13,B,107,38.6
13,B,108,37.81
14,A,1,40.57
14,A,2,38.98
14,A,3,40.06
14,A,4,38.74
14,A,5,40.46
14,A,6,41.37
14,A,7,47.3
14,A,8,43.91
14,A,9,34.62
14,A,10,38.99
14,A,11,40.17
14,A,12,36.95
14,A,13,39.7
14,A,14,38.74
14,A,15,39.29
14,A,16,39.42
14,A,17,36.22
14,A,18,40.26
14,A,19,38.7
14,A,20,38.67
14,A,21,36.07
14,A,22,38.88
14,A,23,39.66
14,A,24,39.27
14,A,25,35.09
14,A,26,38.21
14,A,27,36.93
14,A,28,44.29
14,A,29,36.34
14,A,30,45.18
14,A,31,38.16
14,A,32,37.53
14,A,33,43.22
14,A,34,48.38
14,A,35,36.86
14,A,36,41.28
14,A,37,40.18
14,A,38,37.04
14,A,39,39.88
14,A,40,37.11
14,A,41,43.37
14,A,42,36.61
14,A,43,40.35
14,A,44,35.02
14,A,45,36.35
14,A,46,43.53
14,A,47,43.16
14,A,48,39.96
14,B,49,42.16
14,B,50,42.15
14,B,51,40.93
14,B,52,45.67
14,B,53,40.67
14,B,54,37.43
14,B,55,42.43
14,B,56,39.06
14,B,57,44.92
14,B,58,34.64
14,B,59,40.76
14,B,60,31.65
14,B,61,40.71
14,B,62,41.63
14,B,63,38.44
14,B,64,41.79
14,B,65,40.08
14,B,66,38.24
14,B,67,42.13
