Study,Trt,Cow,Period,FCM
9,A,11,3,24.45
9,C,12,1,29.11
9,A,12,2,31.49
9,B,12,3,30.42
9,A,13,1,31.57
9,B,13,2,30.58
9,C,13,3,23.11
9,B,14,1,33.24
9,C,14,2,31.92
9,A,14,3,27.86
9,C,15,1,26.15
9,A,15,2,26.79
9,B,15,3,26.52
9,A,16,1,30.25
9,B,16,2,32.38
9,C,16,3,21.82
9,B,17,1,34.58
9,C,17,2,25.85
9,A,17,3,26.85
9,C,18,1,23.36
9,A,18,2,25.94
9,B,18,3,21.65
9,A,19,1,28.81
9,B,19,2,25.47
9,C,19,3,20.32
9,B,20,1,30.91
9,C,20,2,26.21
9,A,20,3,26.22
9,C,21,1,30.89
9,A,21,2,33.61
9,B,21,3,29.13
9,A,22,1,29.55
9,B,22,2,29.91
9,C,22,3,24.55
9,B,23,1,33.68
9,C,23,2,29.82
9,A,23,3,28.73
9,C,24,1,35.51
9,A,24,2,33.55
9,B,24,3,30.65
10,A,1,1,24.02
10,B,1,2,28.65
10,C,1,3,27.72
10,B,2,1,25.44
10,C,2,2,28.27
10,A,2,3,26.15
10,C,3,1,27.77
10,A,3,2,27.66
10,B,3,3,27.6
10,A,4,1,26.48
10,B,4,2,31.45
10,C,4,3,29.8
10,B,5,1,25.92
10,C,5,2,28.52
10,A,5,3,24.76
10,C,6,1,29.27
10,A,6,2,27.37
10,B,6,3,29.38
10,A,7,1,28.01
10,B,7,2,33.33
10,C,7,3,32.59
10,B,8,1,28.81
10,C,8,2,31.44
10,A,8,3,26.83
10,C,9,1,26.25
10,A,9,2,26.12
10,B,9,3,25.89
10,A,10,1,20.3
10,B,10,2,26.56
10,C,10,3,24.13
10,B,11,1,28.6
10,C,11,2,29.4
10,A,11,3,25.07
10,C,12,1,31.44
10,A,12,2,33.78
10,B,12,3,31.35
10,A,13,1,26.6
10,B,13,2,26.96
10,C,13,3,28.12
10,B,14,1,25.77
10,C,14,2,23.4
10,A,14,3,21.9
10,C,15,1,30.86
10,A,15,2,32.11
10,B,15,3,31.24
10,A,16,1,29.25
10,B,16,2,32.42
10,C,16,3,28.79
10,B,17,1,29.05
10,C,17,2,30.69
10,A,17,3,26.74
10,C,18,1,26.5
10,A,18,2,26.93
10,B,18,3,26.43
10,A,19,1,30.1
10,B,19,2,33.55
10,C,19,3,31.74
10,B,20,1,32.15
10,C,20,2,35.64
10,A,20,3,29.98
10,C,21,1,29.45
10,A,21,2,27.31
10,B,21,3,29.82
11,A,1,1,37.41
11,B,1,2,35.11
11,C,1,3,32.21
11,B,2,1,30.84
11,C,2,2,28.82
11,A,2,3,25.8
11,C,3,1,34.91
11,A,3,2,32.23
11,B,3,3,28.6
11,A,4,1,37.06
11,B,4,2,34.92
11,C,4,3,31.1
11,B,5,1,30.38
11,C,5,2,27.23
11,A,5,3,24.77
11,C,6,1,33.63
11,A,6,2,32.14
11,B,6,3,26.41
11,A,7,1,29.23
11,B,7,2,27.35
11,C,7,3,23.82
11,B,8,1,34.37
11,C,8,2,32.28
11,A,8,3,30.53
11,C,9,1,31.72
11,A,9,2,27.32
11,B,9,3,27.15
12,A,1,1,27.3
12,B,1,2,35.77
12,C,1,3,34.82
12,B,2,1,30.56
12,C,2,2,39.54
12,A,2,3,33.28
12,C,3,1,36.36
12,A,3,2,35.73
12,B,3,3,32.98
12,A,4,1,29.9
12,B,4,2,36.56
12,C,4,3,35.29
12,B,5,1,32.04
12,C,5,2,39.94
12,A,5,3,31.26
12,C,6,1,29.79
12,A,6,2,30.58
12,B,6,3,28.58
12,A,7,1,33.83
12,B,7,2,34.54
12,C,7,3,36.88
12,B,8,1,30.12
12,C,8,2,41.58
12,A,8,3,33.64
12,C,9,1,29.52
12,A,9,2,32.19
12,B,9,3,28.92
12,A,10,1,30.52
12,B,10,2,34.16
12,C,10,3,33.12
12,B,11,1,35.09
12,C,11,2,37.97
12,A,11,3,29.34
12,C,12,1,29.98
12,A,12,2,30.78
12,B,12,3,29.38
12,A,13,1,28.28
12,B,13,2,31.14
12,C,13,3,29.74
12,B,14,1,30.3
12,C,14,2,36.64
12,A,14,3,29.48
12,C,15,1,35.79
12,A,15,2,34.56
12,B,15,3,30.48
12,A,16,1,34.02
12,B,16,2,41.09
12,C,16,3,38.38
12,B,17,1,30.38
12,C,17,2,38
12,A,17,3,30.08
12,C,18,1,32.38
12,A,18,2,33.03
12,B,18,3,30.06
12,A,19,1,28.78
12,B,19,2,32.17
12,C,19,3,29.54
12,B,20,1,31.82
12,C,20,2,36.98
12,A,20,3,29.38
12,C,21,1,32.05
12,A,21,2,30.6
12,B,21,3,30.39
12,A,22,1,33.03
12,B,22,2,35.01
12,C,22,3,33.66
12,B,23,1,27.23
12,C,23,2,31.02
12,A,23,3,27.36
12,C,24,1,28.14
12,A,24,2,30.87
12,B,24,3,24.14
13,A,1,1,35.33
13,B,1,2,32.27
13,C,1,3,33.72
13,B,2,1,31.53
13,C,2,2,32.53
13,A,2,3,34.57
13,C,3,1,36.33
13,A,3,2,37.19
13,B,3,3,36.47
13,A,4,1,35.57
13,B,4,2,32.32
13,C,4,3,34.85
13,B,5,1,31
13,C,5,2,34.21
13,A,5,3,34.04
13,C,6,1,32.87
13,A,6,2,30.6
13,B,6,3,29.17
13,A,7,1,33.52
13,B,7,2,33.01
13,C,7,3,35.75
13,B,8,1,30.26
13,C,8,2,32.76
13,A,8,3,32.18
13,C,9,1,29.98
13,A,9,2,30.49
13,B,9,3,29.06
13,A,10,1,35.54
13,B,10,2,33.53
13,C,10,3,34.85
13,B,11,1,28.34
13,C,11,2,30.4
13,A,11,3,29.55
13,C,12,1,39.15
13,A,12,2,37.43
13,B,12,3,31.34
13,A,13,1,38.63
13,B,13,2,34.23
13,C,13,3,36.59
13,B,14,1,30.51
13,C,14,2,33.01
13,A,14,3,34.74
13,C,15,1,34.38
13,A,15,2,31.79
13,B,15,3,29.69
13,A,16,1,34.92
13,B,16,2,34.16
13,C,16,3,36.94
13,B,17,1,32.83
13,C,17,2,33.27
13,A,17,3,33.41
13,C,18,1,34.15
13,A,18,2,36.4
13,B,18,3,35
13,A,19,1,36.36
13,B,19,2,34.13
13,C,19,3,37.77
13,B,20,1,33.52
13,C,20,2,31.71
13,A,20,3,32.49
13,C,21,1,32.6
13,A,21,2,35.84
13,B,21,3,33
13,A,22,1,30.54
13,B,22,2,27.67
13,C,22,3,32.94
13,B,23,1,27.9
13,C,23,2,31.97
13,A,23,3,29.32
13,C,24,1,30.05
13,A,24,2,30.93
13,B,24,3,29.1
14,A,1,1,27.17
14,B,1,2,32.03
14,C,1,3,27.8
14,B,2,1,36.3
14,C,2,2,34.22
14,A,2,3,28.51
14,C,3,1,29.02
14,A,3,2,24.96
14,B,3,3,30.79
14,A,4,1,34.85
14,B,4,2,33.13
14,C,4,3,32.29
14,B,5,1,35.65
14,C,5,2,28.32
14,A,5,3,25.36
14,C,6,1,30.26
14,A,6,2,25.91
14,B,6,3,31.5
14,A,7,1,29.63
14,B,7,2,32.22
14,C,7,3,30.96
14,B,8,1,32.62
14,C,8,2,33.24
14,A,8,3,26.16
14,C,9,1,30.22
14,A,9,2,28.33
14,B,9,3,27.43
14,A,10,1,23.58
14,B,10,2,24.79
14,C,10,3,28.07
14,B,11,1,39.99
14,C,11,2,34.51
14,A,11,3,32.43
14,C,12,1,32.02
14,A,12,2,25.21
14,B,12,3,31.84
14,A,13,1,28.25
14,B,13,2,30.13
14,C,13,3,30.15
14,B,14,1,33.34
14,C,14,2,32.91
14,A,14,3,29.5
14,C,15,1,31.6
14,A,15,2,26.79
14,B,15,3,31.36
14,A,16,1,29.51
14,B,16,2,33.34
14,C,16,3,28.81
14,B,17,1,31.22
14,C,17,2,29.09
14,A,17,3,26.19
14,C,18,1,26.95
14,A,18,2,23.67
14,B,18,3,26.14
14,A,19,1,27.12
14,B,19,2,29.67
14,C,19,3,28.98
14,B,20,1,31.31
14,C,20,2,28.68
14,A,20,3,26.12
14,C,21,1,34.34
14,A,21,2,27.63
14,B,21,3,31.32
14,A,22,1,24.55
14,B,22,2,26.08
14,C,22,3,24.84
14,B,23,1,29.44
14,C,23,2,27.54
14,A,23,3,23.49
14,C,24,1,34.1
14,A,24,2,23.7
14,B,24,3,31.49
15,A,1,1,33.93
15,B,1,2,34.61
15,C,1,3,32.1
15,B,2,1,37.61
15,C,2,2,34.53
15,A,2,3,30.85
15,C,3,1,29.37
15,A,3,2,27.66
15,B,3,3,28.29
15,A,4,1,30.05
15,B,4,2,34.81
15,C,4,3,31.16
15,B,5,1,40.39
15,C,5,2,37.3
15,A,5,3,31.09
15,C,6,1,27.85
15,A,6,2,28.2
15,B,6,3,30.82
15,A,7,1,31.79
15,B,7,2,36.92
15,C,7,3,32.38
15,B,8,1,38.7
15,C,8,2,34.31
15,A,8,3,29.74
15,C,9,1,26.94
15,A,9,2,31.48
15,B,9,3,30.85
15,A,10,1,31.23
15,B,10,2,37.13
15,C,10,3,32.29
15,B,11,1,29.74
15,C,11,2,30.7
15,A,11,3,28.72
15,C,12,1,27.46
15,A,12,2,28.45
15,B,12,3,31.09
15,A,13,1,30.7
15,B,13,2,35.82
15,C,13,3,29.12
15,B,14,1,32.21
15,C,14,2,30.74
15,A,14,3,28.67
15,C,15,1,31.85
15,A,15,2,33.95
15,B,15,3,35.02
15,A,16,1,25.38
15,B,16,2,31.43
15,C,16,3,25.6
15,B,17,1,32.92
15,C,17,2,29.85
15,A,17,3,25.5
15,C,18,1,32.51
15,A,18,2,31.99
15,B,18,3,34.12
15,A,19,1,28.02
15,B,19,2,32.58
15,C,19,3,28.29
15,B,20,1,33.91
15,C,20,2,33.47
15,A,20,3,30.73
15,C,21,1,30.9
15,A,21,2,30.93
15,B,21,3,32.61
15,A,22,1,28.18
15,B,22,2,34.9
15,C,22,3,28.48
15,B,23,1,32.88
15,C,23,2,29.87
15,A,23,3,24.58
15,C,24,1,29.83
15,A,24,2,26.55
15,B,24,3,31.12
15,A,25,1,29.62
15,B,25,2,29.33
15,C,25,3,27.24
15,B,26,1,35.64
15,C,26,2,34.71
15,A,26,3,33.25
15,C,27,1,27.51
15,A,27,2,27.51
15,B,27,3,29.36
16,A,1,1,29.49
16,B,1,2,30.59
16,C,1,3,29.65
16,B,2,1,39.57
16,C,2,2,33.81
16,A,2,3,35.45
16,C,3,1,35.56
16,A,3,2,29.94
16,B,3,3,31.74
16,A,4,1,32.64
16,B,4,2,32.56
16,C,4,3,33.9
16,B,5,1,35.78
16,C,5,2,33.13
16,A,5,3,33.35
16,C,6,1,30.63
16,A,6,2,27.61
16,B,6,3,33.44
16,A,7,1,32.18
16,B,7,2,32.37
16,C,7,3,32.73
16,B,8,1,32.95
16,C,8,2,34.27
16,A,8,3,31.98
16,C,9,1,31.64
16,A,9,2,31.85
16,B,9,3,36.47
17,A,1,1,34.53
17,B,1,2,37.79
17,C,1,3,37.75
17,B,2,1,26.55
17,C,2,2,29.19
17,A,2,3,23.09
17,C,3,1,36.66
17,A,3,2,35.18
17,B,3,3,35.69
17,A,4,1,33.11
17,B,4,2,34.49
17,C,4,3,35.99
17,B,5,1,38.68
17,C,5,2,40.92
17,A,5,3,39.42
17,C,6,1,33.43
17,A,6,2,35.39
17,B,6,3,36.1
17,A,7,1,34.26
17,B,7,2,35.79
17,C,7,3,38.51
17,B,8,1,36.2
17,C,8,2,35.61
17,A,8,3,33.75
17,C,9,1,34.21
17,A,9,2,36.97
17,B,9,3,34.73
17,A,10,1,33.31
17,B,10,2,33.47
17,C,10,3,36.74
17,B,11,1,37.98
17,C,11,2,40.34
17,A,11,3,38.48
17,C,12,1,35.6
17,A,12,2,31.01
17,B,12,3,34.32
18,A,1,1,29.97
18,B,1,2,31.03
18,C,1,3,36.18
18,B,2,1,34.07
18,C,2,2,31.15
18,A,2,3,31.39
18,C,3,1,34.1
18,A,3,2,29.53
18,B,3,3,35.94
18,A,4,1,36.77
18,B,4,2,32.22
18,C,4,3,41.56
18,B,5,1,31.93
18,C,5,2,33.49
18,A,5,3,37.04
18,C,6,1,37.9
18,A,6,2,33.34
18,B,6,3,37.06
18,A,7,1,30.42
18,B,7,2,32.86
18,C,7,3,33.56
18,B,8,1,31.92
18,C,8,2,33.65
18,A,8,3,30.18
18,C,9,1,34.56
18,A,9,2,29.95
18,B,9,3,35.56
18,A,10,1,39.34
18,B,10,2,34.26
18,C,10,3,40.88
18,B,11,1,36.05
18,C,11,2,36.2
18,A,11,3,36.64
18,C,12,1,34.97
18,A,12,2,33.2
18,B,12,3,37
19,A,1,1,31.33
19,B,1,2,41.94
19,C,1,3,39.01
19,B,2,1,32.85
19,C,2,2,37.39
19,A,2,3,28.42
19,C,3,1,34.87
19,A,3,2,32.71
19,B,3,3,29.25
19,A,4,1,23.53
19,B,4,2,31.66
19,C,4,3,30.99
19,B,5,1,28.19
19,C,5,2,37.23
19,A,5,3,22.54
19,C,6,1,29.08
19,A,6,2,25.74
19,B,6,3,27.29
19,A,7,1,26.33
19,B,7,2,33.01
19,C,7,3,32.89
19,B,8,1,29.25
19,C,8,2,36.42
19,A,8,3,25.58
19,C,9,1,38.76
19,A,9,2,38.11
19,B,9,3,32.62
19,A,10,1,30.5
19,B,10,2,30.69
19,C,10,3,34.86
19,B,11,1,33.83
19,C,11,2,38.37
19,A,11,3,29.16
19,C,12,1,32.11
19,A,12,2,27.92
19,B,12,3,29.69
19,A,13,1,29.59
19,B,13,2,33.63
19,C,13,3,33.69
19,B,14,1,29.43
19,C,14,2,35.62
19,A,14,3,23.28
19,C,15,1,35.1
19,A,15,2,34.96
19,B,15,3,30.2
19,A,16,1,27.67
19,B,16,2,36.58
19,C,16,3,34.37
19,B,17,1,35.1
19,C,17,2,38.98
19,A,17,3,29.13
19,C,18,1,36.24
19,A,18,2,30.5
19,B,18,3,28.69
19,A,19,1,28.65
19,B,19,2,34.92
19,C,19,3,33.94
19,B,20,1,31.39
19,C,20,2,39.15
19,A,20,3,26.27
19,C,21,1,33.45
19,A,21,2,28.76
19,B,21,3,28.66
19,A,22,1,35.68
19,B,22,2,38.56
19,C,22,3,37.66
19,B,23,1,33.65
19,C,23,2,38.63
19,A,23,3,29.84
19,C,24,1,35.75
19,A,24,2,30.55
19,B,24,3,36.9
19,A,25,1,27.64
19,B,25,2,33.59
19,C,25,3,34.52
19,B,26,1,39.24
19,C,26,2,40.83
19,A,26,3,32.3
19,C,27,1,36.03
19,A,27,2,36.72
19,B,27,3,34.86
20,A,1,1,25.79
20,B,1,2,30.83
20,C,1,3,33.52
20,B,2,1,30.09
20,C,2,2,31.2
20,A,2,3,30.18
20,C,3,1,32.01
20,A,3,2,32.56
20,B,3,3,32.46
20,A,4,1,30.12
20,B,4,2,31.57
20,C,4,3,37.11
20,B,5,1,28.4
20,C,5,2,33.55
20,A,5,3,30.45
20,C,6,1,32.05
20,A,6,2,33.58
20,B,6,3,32.62
20,A,7,1,27.39
20,B,7,2,26.63
20,C,7,3,35.06
20,B,8,1,27.28
