Study,Trt,Cow,Xvar,FCM
6,A,24,-2.89232139833262,37.35
6,A,25,-2.89232139833262,33.56
6,A,26,-2.89232139833262,30.85
6,A,27,-2.89232139833262,36.86
6,A,28,-2.89232139833262,34.01
6,A,29,-2.89232139833262,45.56
6,A,30,-2.89232139833262,30.29
6,B,31,0.35400503084012874,43.94
6,B,32,0.35400503084012874,49.17
6,B,33,0.35400503084012874,40.19
6,B,34,0.35400503084012874,42.96
6,B,35,0.35400503084012874,43.36
6,B,36,0.35400503084012874,45.38
6,B,37,0.35400503084012874,40.14
6,B,38,0.35400503084012874,48.98
6,B,39,0.35400503084012874,38.68
6,B,40,0.35400503084012874,32.84
6,B,41,0.35400503084012874,42.51
6,B,42,0.35400503084012874,42.31
6,B,43,0.35400503084012874,38.55
6,B,44,0.35400503084012874,37.79
6,B,45,0.35400503084012874,39.77
6,B,46,0.35400503084012874,37.05
6,B,47,0.35400503084012874,50.05
6,B,48,0.35400503084012874,48.12
6,B,49,0.35400503084012874,39.73
6,B,50,0.35400503084012874,43.91
6,B,51,0.35400503084012874,49.06
6,B,52,0.35400503084012874,39.31
6,B,53,0.35400503084012874,39.15
6,B,54,0.35400503084012874,38.79
6,B,55,0.35400503084012874,41.46
6,B,56,0.35400503084012874,38.93
6,B,57,0.35400503084012874,37.74
6,B,58,0.35400503084012874,34.18
6,B,59,0.35400503084012874,42.38
6,B,60,0.35400503084012874,49.72
7,A,1,0.09534935373040888,42.92
7,A,2,0.09534935373040888,40.95
7,A,3,0.09534935373040888,39.73
7,A,4,0.09534935373040888,27.27
7,A,5,0.09534935373040888,45.64
7,A,6,0.09534935373040888,49.38
7,A,7,0.09534935373040888,38.75
7,A,8,0.09534935373040888,40.9
7,A,9,0.09534935373040888,53.83
7,A,10,0.09534935373040888,39.35
7,A,11,0.09534935373040888,35.94
7,A,12,0.09534935373040888,40.17
7,A,13,0.09534935373040888,36.6
7,A,14,0.09534935373040888,35.09
7,A,15,0.09534935373040888,43.27
7,A,16,0.09534935373040888,45.11
7,A,17,0.09534935373040888,36.18
7,A,18,0.09534935373040888,43.45
7,A,19,0.09534935373040888,38.71
7,A,20,0.09534935373040888,46.15
7,A,21,0.09534935373040888,41.5
7,A,22,0.09534935373040888,33.52
7,A,23,0.09534935373040888,52.1
7,A,24,0.09534935373040888,40.85
7,A,25,0.09534935373040888,40.4
7,A,26,0.09534935373040888,36.04
7,A,27,0.09534935373040888,40.01
7,A,28,0.09534935373040888,36.14
7,A,29,0.09534935373040888,39.05
7,A,30,0.09534935373040888,42.4
7,A,31,0.09534935373040888,38.81
7,A,32,0.09534935373040888,34.98
7,A,33,0.09534935373040888,42.93
7,A,34,0.09534935373040888,43.22
7,A,35,0.09534935373040888,36.98
7,A,36,0.09534935373040888,39.24
7,A,37,0.09534935373040888,43.7
7,A,38,0.09534935373040888,35.92
7,B,39,1.104566961015108,44.26
7,B,40,1.104566961015108,43.32
7,B,41,1.104566961015108,33.06
7,B,42,1.104566961015108,32.6
7,B,43,1.104566961015108,45.72
7,B,44,1.104566961015108,41.5
7,B,45,1.104566961015108,38.19
7,B,46,1.104566961015108,30.19
7,B,47,1.104566961015108,38.92
7,B,48,1.104566961015108,42.02
7,B,49,1.104566961015108,33.93
7,B,50,1.104566961015108,38.74
7,B,51,1.104566961015108,42
7,B,52,1.104566961015108,41.36
7,B,53,1.104566961015108,38.04
7,B,54,1.104566961015108,38.86
7,B,55,1.104566961015108,43.04
7,B,56,1.104566961015108,44.2
7,B,57,1.104566961015108,47.54
7,B,58,1.104566961015108,44
7,B,59,1.104566961015108,39.33
7,B,60,1.104566961015108,36.73
7,B,61,1.104566961015108,42.13
7,B,62,1.104566961015108,42.29
7,B,63,1.104566961015108,35.23
7,B,64,1.104566961015108,43.41
7,B,65,1.104566961015108,48.89
7,B,66,1.104566961015108,40.45
7,B,67,1.104566961015108,51.23
7,B,68,1.104566961015108,42.54
7,B,69,1.104566961015108,42.72
7,B,70,1.104566961015108,55.31
7,B,71,1.104566961015108,43.37
7,B,72,1.104566961015108,43.78
7,B,73,1.104566961015108,49.42
7,B,74,1.104566961015108,40.01
7,B,75,1.104566961015108,38.57
7,B,76,1.104566961015108,43.57
8,A,1,0.49988989751365537,48.45
8,A,2,0.49988989751365537,42.9
8,A,3,0.49988989751365537,47.49
8,A,4,0.49988989751365537,55.47
8,A,5,0.49988989751365537,42.27
8,A,6,0.49988989751365537,37.45
8,A,7,0.49988989751365537,49.07
8,A,8,0.49988989751365537,47.02
8,A,9,0.49988989751365537,48.64
8,A,10,0.49988989751365537,43.15
8,A,11,0.49988989751365537,43.48
8,A,12,0.49988989751365537,47.22
8,A,13,0.49988989751365537,54.63
8,A,14,0.49988989751365537,49.15
8,A,15,0.49988989751365537,53.63
8,A,16,0.49988989751365537,34.64
8,A,17,0.49988989751365537,41.58
8,A,18,0.49988989751365537,45.81
8,B,19,0.0043446232405480005,34.59
8,B,20,0.0043446232405480005,42.77
8,B,21,0.0043446232405480005,41.25
8,B,22,0.0043446232405480005,50.87
8,B,23,0.0043446232405480005,40.18
8,B,24,0.0043446232405480005,44.35
8,B,25,0.0043446232405480005,44.15
8,B,26,0.0043446232405480005,44.55
8,B,27,0.0043446232405480005,38.32
8,B,28,0.0043446232405480005,40.65
8,B,29,0.0043446232405480005,46.06
8,B,30,0.0043446232405480005,43.01
8,B,31,0.0043446232405480005,51.4
8,B,32,0.0043446232405480005,44.88
8,B,33,0.0043446232405480005,44.81
8,B,34,0.0043446232405480005,47.5
8,B,35,0.0043446232405480005,44.27
8,B,36,0.0043446232405480005,39.88
9,A,1,0.949372149400778,41.83
9,A,2,0.949372149400778,45.21
9,A,3,0.949372149400778,42.87
9,A,4,0.949372149400778,40.81
9,A,5,0.949372149400778,42.44
9,A,6,0.949372149400778,45.33
9,A,7,0.949372149400778,42.61
9,A,8,0.949372149400778,46.07
9,A,9,0.949372149400778,43.2
9,A,10,0.949372149400778,48.86
9,A,11,0.949372149400778,44.02
9,A,12,0.949372149400778,47.31
9,A,13,0.949372149400778,50.42
9,A,14,0.949372149400778,45.16
9,A,15,0.949372149400778,50.8
9,A,16,0.949372149400778,38.33
9,A,17,0.949372149400778,44.23
9,A,18,0.949372149400778,43.3
9,A,19,0.949372149400778,40.43
9,A,20,0.949372149400778,46.92
9,A,21,0.949372149400778,54.52
9,A,22,0.949372149400778,50.7
9,A,23,0.949372149400778,40.24
9,A,24,0.949372149400778,43.52
9,A,25,0.949372149400778,43.88
9,A,26,0.949372149400778,49.17
9,A,27,0.949372149400778,43.72
9,A,28,0.949372149400778,40.86
9,A,29,0.949372149400778,39.41
9,A,30,0.949372149400778,45.97
9,A,31,0.949372149400778,42.89
9,A,32,0.949372149400778,37.06
9,A,33,0.949372149400778,42.23
9,A,34,0.949372149400778,50.2
9,A,35,0.949372149400778,41.81
9,A,36,0.949372149400778,40.78
9,B,37,-1.153697980653388,42.56
9,B,38,-1.153697980653388,55.29
9,B,39,-1.153697980653388,41.67
9,B,40,-1.153697980653388,43.55
9,B,41,-1.153697980653388,45.78
9,B,42,-1.153697980653388,44.68
9,B,43,-1.153697980653388,36.58
9,B,44,-1.153697980653388,37.56
9,B,45,-1.153697980653388,41.86
9,B,46,-1.153697980653388,47.36
9,B,47,-1.153697980653388,41.47
9,B,48,-1.153697980653388,38.77
9,B,49,-1.153697980653388,44.59
9,B,50,-1.153697980653388,41.23
9,B,51,-1.153697980653388,54.56
9,B,52,-1.153697980653388,34.04
9,B,53,-1.153697980653388,32.05
9,B,54,-1.153697980653388,47.75
9,B,55,-1.153697980653388,50.58
9,B,56,-1.153697980653388,46.08
9,B,57,-1.153697980653388,46.83
9,B,58,-1.153697980653388,46.73
9,B,59,-1.153697980653388,46.02
9,B,60,-1.153697980653388,31.21
9,B,61,-1.153697980653388,48.36
9,B,62,-1.153697980653388,47.22
9,B,63,-1.153697980653388,51.87
9,B,64,-1.153697980653388,41.81
9,B,65,-1.153697980653388,41.71
9,B,66,-1.153697980653388,47.14
9,B,67,-1.153697980653388,38.22
9,B,68,-1.153697980653388,28.23
9,B,69,-1.153697980653388,40.18
9,B,70,-1.153697980653388,40.51
9,B,71,-1.153697980653388,44.98
9,B,72,-1.153697980653388,50.77
10,A,1,-1.6584009589402293,39.06
10,A,2,-1.6584009589402293,30.59
10,A,3,-1.6584009589402293,40.06
10,A,4,-1.6584009589402293,36.18
10,A,5,-1.6584009589402293,49.03
10,A,6,-1.6584009589402293,44.9
10,A,7,-1.6584009589402293,34.78
10,A,8,-1.6584009589402293,39.89
10,A,9,-1.6584009589402293,29.6
10,A,10,-1.6584009589402293,31.65
10,A,11,-1.6584009589402293,45.09
10,A,12,-1.6584009589402293,41.73
10,A,13,-1.6584009589402293,39.43
10,A,14,-1.6584009589402293,33.92
10,A,15,-1.6584009589402293,47.56
10,A,16,-1.6584009589402293,41.23
10,A,17,-1.6584009589402293,35.81
10,A,18,-1.6584009589402293,47.12
10,A,19,-1.6584009589402293,46.21
10,A,20,-1.6584009589402293,39.39
10,A,21,-1.6584009589402293,35.44
10,A,22,-1.6584009589402293,32.14
10,A,23,-1.6584009589402293,41.07
10,A,24,-1.6584009589402293,39.84
10,A,25,-1.6584009589402293,31.14
10,A,26,-1.6584009589402293,35.25
10,A,27,-1.6584009589402293,42.24
10,A,28,-1.6584009589402293,42.5
10,A,29,-1.6584009589402293,42.13
10,A,30,-1.6584009589402293,39.02
10,A,31,-1.6584009589402293,44.67
10,A,32,-1.6584009589402293,36.07
10,A,33,-1.6584009589402293,42.99
10,A,34,-1.6584009589402293,38.72
10,A,35,-1.6584009589402293,40.67
10,A,36,-1.6584009589402293,44.75
10,A,37,-1.6584009589402293,37.78
10,A,38,-1.6584009589402293,41.43
10,A,39,-1.6584009589402293,50.44
10,A,40,-1.6584009589402293,43.71
10,B,41,1.4077315594799475,32.32
10,B,42,1.4077315594799475,40.94
10,B,43,1.4077315594799475,42.68
10,B,44,1.4077315594799475,46.81
10,B,45,1.4077315594799475,45.25
10,B,46,1.4077315594799475,42.12
10,B,47,1.4077315594799475,43.12
10,B,48,1.4077315594799475,47.03
10,B,49,1.4077315594799475,47.66
10,B,50,1.4077315594799475,43.5
10,B,51,1.4077315594799475,44.41
10,B,52,1.4077315594799475,46.51
10,B,53,1.4077315594799475,43.28
10,B,54,1.4077315594799475,43.69
10,B,55,1.4077315594799475,35.67
10,B,56,1.4077315594799475,39.68
10,B,57,1.4077315594799475,49.75
10,B,58,1.4077315594799475,40.92
10,B,59,1.4077315594799475,41.56
10,B,60,1.4077315594799475,41.32
10,B,61,1.4077315594799475,44.47
10,B,62,1.4077315594799475,50.19
10,B,63,1.4077315594799475,40.29
10,B,64,1.4077315594799475,39.33
10,B,65,1.4077315594799475,45.4
10,B,66,1.4077315594799475,41.44
10,B,67,1.4077315594799475,45.33
10,B,68,1.4077315594799475,41.85
10,B,69,1.4077315594799475,46.17
10,B,70,1.4077315594799475,44.7
10,B,71,1.4077315594799475,48.82
10,B,72,1.4077315594799475,43.92
10,B,73,1.4077315594799475,42.45
10,B,74,1.4077315594799475,41.61
10,B,75,1.4077315594799475,45.38
10,B,76,1.4077315594799475,45.57
10,B,77,1.4077315594799475,43.26
10,B,78,1.4077315594799475,41.24
10,B,79,1.4077315594799475,45.07
10,B,80,1.4077315594799475,47.9
11,A,1,-1.481619640758723,35.51
11,A,2,-1.481619640758723,34.72
11,A,3,-1.481619640758723,37.39
11,A,4,-1.481619640758723,35.55
11,A,5,-1.481619640758723,42.66
11,A,6,-1.481619640758723,40.08
11,A,7,-1.481619640758723,31.85
11,A,8,-1.481619640758723,37.37
11,A,9,-1.481619640758723,48.86
11,A,10,-1.481619640758723,42.01
11,A,11,-1.481619640758723,38.8
11,A,12,-1.481619640758723,38.07
11,A,13,-1.481619640758723,24.53
11,A,14,-1.481619640758723,47.2
11,A,15,-1.481619640758723,40.49
11,A,16,-1.481619640758723,38.26
11,A,17,-1.481619640758723,34.65
11,A,18,-1.481619640758723,40.14
11,A,19,-1.481619640758723,28.49
11,A,20,-1.481619640758723,31.14
11,A,21,-1.481619640758723,38.16
11,A,22,-1.481619640758723,31.28
11,A,23,-1.481619640758723,35.67
11,A,24,-1.481619640758723,30.22
11,B,25,-1.3773992765480743,41.75
11,B,26,-1.3773992765480743,37.17
11,B,27,-1.3773992765480743,36.63
11,B,28,-1.3773992765480743,39.71
11,B,29,-1.3773992765480743,38.96
11,B,30,-1.3773992765480743,44.52
11,B,31,-1.3773992765480743,30.66
11,B,32,-1.3773992765480743,36.35
11,B,33,-1.3773992765480743,41.56
11,B,34,-1.3773992765480743,48.19
11,B,35,-1.3773992765480743,32
11,B,36,-1.3773992765480743,42.1
11,B,37,-1.3773992765480743,41.44
11,B,38,-1.3773992765480743,43.6
11,B,39,-1.3773992765480743,30.98
11,B,40,-1.3773992765480743,38.31
11,B,41,-1.3773992765480743,43.32
11,B,42,-1.3773992765480743,42.57
11,B,43,-1.3773992765480743,36.29
11,B,44,-1.3773992765480743,33.18
11,B,45,-1.3773992765480743,38.88
11,B,46,-1.3773992765480743,43.18
11,B,47,-1.3773992765480743,44.06
11,B,48,-1.3773992765480743,34.94
12,A,1,-0.4906862327461932,46.7
12,A,2,-0.4906862327461932,48.81
12,A,3,-0.4906862327461932,49.83
12,A,4,-0.4906862327461932,45.57
12,A,5,-0.4906862327461932,44.11
12,A,6,-0.4906862327461932,54.2
12,A,7,-0.4906862327461932,48.77
12,A,8,-0.4906862327461932,43.51
12,A,9,-0.4906862327461932,48.36
12,A,10,-0.4906862327461932,32.88
12,A,11,-0.4906862327461932,41.33
12,A,12,-0.4906862327461932,40.55
12,A,13,-0.4906862327461932,49.13
12,A,14,-0.4906862327461932,36.1
12,A,15,-0.4906862327461932,48.38
12,A,16,-0.4906862327461932,47.34
12,A,17,-0.4906862327461932,50.12
12,A,18,-0.4906862327461932,43.66
12,A,19,-0.4906862327461932,25.89
12,A,20,-0.4906862327461932,45.49
12,A,21,-0.4906862327461932,40.46
12,A,22,-0.4906862327461932,35.43
12,A,23,-0.4906862327461932,41.69
12,A,24,-0.4906862327461932,46.08
12,A,25,-0.4906862327461932,57.94
12,A,26,-0.4906862327461932,47.11
12,A,27,-0.4906862327461932,41.27
12,A,28,-0.4906862327461932,40.96
12,A,29,-0.4906862327461932,42.49
12,A,30,-0.4906862327461932,49.82
12,A,31,-0.4906862327461932,41.51
12,A,32,-0.4906862327461932,44.61
12,A,33,-0.4906862327461932,51.58
12,A,34,-0.4906862327461932,46.17
12,A,35,-0.4906862327461932,50.03
12,A,36,-0.4906862327461932,35.35
12,B,37,-2.5449783945266025,44.18
12,B,38,-2.5449783945266025,40.48
12,B,39,-2.5449783945266025,32.17
12,B,40,-2.5449783945266025,40.01
12,B,41,-2.5449783945266025,38.06
12,B,42,-2.5449783945266025,41.03
12,B,43,-2.5449783945266025,44.89
12,B,44,-2.5449783945266025,42.18
12,B,45,-2.5449783945266025,36.15
12,B,46,-2.5449783945266025,34.22
12,B,47,-2.5449783945266025,39.26
12,B,48,-2.5449783945266025,38.72
12,B,49,-2.5449783945266025,43.01
12,B,50,-2.5449783945266025,36.05
12,B,51,-2.5449783945266025,35.26
12,B,52,-2.5449783945266025,43.09
12,B,53,-2.5449783945266025,37.24
12,B,54,-2.5449783945266025,45.57
12,B,55,-2.5449783945266025,41.06
12,B,56,-2.5449783945266025,43.4
12,B,57,-2.5449783945266025,42.87
12,B,58,-2.5449783945266025,48.33
12,B,59,-2.5449783945266025,47.2
12,B,60,-2.5449783945266025,43.53
12,B,61,-2.5449783945266025,49.55
12,B,62,-2.5449783945266025,38.73
12,B,63,-2.5449783945266025,35.63
12,B,64,-2.5449783945266025,44.82
12,B,65,-2.5449783945266025,42.58
12,B,66,-2.5449783945266025,29.92
12,B,67,-2.5449783945266025,39.24
12,B,68,-2.5449783945266025,41
12,B,69,-2.5449783945266025,36.29
12,B,70,-2.5449783945266025,35.59
12,B,71,-2.5449783945266025,25.01
12,B,72,-2.5449783945266025,37.98
13,A,1,0.014753903421311736,39.7
13,A,2,0.014753903421311736,54.31
13,A,3,0.014753903421311736,40.42
13,A,4,0.014753903421311736,46.26
13,A,5,0.014753903421311736,45.87
13,A,6,0.014753903421311736,46.98
13,A,7,0.014753903421311736,42.15
13,A,8,0.014753903421311736,48.63
13,A,9,0.014753903421311736,39.39
13,A,10,0.014753903421311736,41.93
13,A,11,0.014753903421311736,49.6
13,A,12,0.014753903421311736,43.45
13,A,13,0.014753903421311736,45.85
13,A,14,0.014753903421311736,44.9
13,A,15,0.014753903421311736,52.74
13,A,16,0.014753903421311736,53.76
13,A,17,0.014753903421311736,52.08
13,A,18,0.014753903421311736,39.08
13,A,19,0.014753903421311736,55.04
13,A,20,0.014753903421311736,42.82
13,A,21,0.014753903421311736,45.08
13,A,22,0.014753903421311736,42.8
13,B,23,1.0842505314470252,44.97
13,B,24,1.0842505314470252,45.55
13,B,25,1.0842505314470252,40.05
13,B,26,1.0842505314470252,52.87
13,B,27,1.0842505314470252,33.38
13,B,28,1.0842505314470252,41.14
13,B,29,1.0842505314470252,42.87
13,B,30,1.0842505314470252,54.67
13,B,31,1.0842505314470252,44.88
13,B,32,1.0842505314470252,37.65
13,B,33,1.0842505314470252,43.1
13,B,34,1.0842505314470252,56.01
