Study,Trt,Cow,Period,FCM
3,B,24,1,33.64
3,A,24,2,40.07
3,C,24,3,31.88
3,A,25,1,36.31
3,B,25,2,39.53
3,C,25,3,32.16
3,B,26,1,38.24
3,C,26,2,39.78
3,A,26,3,43.41
3,C,27,1,38.83
3,A,27,2,47.79
3,B,27,3,43.21
3,C,28,1,37.8
3,B,28,2,30.58
3,A,28,3,32.57
3,A,29,1,38.87
3,C,29,2,41.85
3,B,29,3,39.25
3,B,30,1,29.88
3,A,30,2,43.56
3,C,30,3,26.09
3,A,31,1,41.8
3,B,31,2,48.66
3,C,31,3,37.1
3,B,32,1,29.7
3,C,32,2,37.75
3,A,32,3,21.81
3,C,33,1,28.17
3,A,33,2,40.81
3,B,33,3,31.1
3,C,34,1,30.89
3,B,34,2,42.69
3,A,34,3,37.73
3,A,35,1,30.82
3,C,35,2,27.02
3,B,35,3,22.07
3,B,36,1,42.44
3,A,36,2,48.73
3,C,36,3,45.25
4,A,1,1,41.61
4,B,1,2,50.2
4,C,1,3,51.62
4,B,2,1,38.15
4,C,2,2,27.83
4,A,2,3,37.73
4,C,3,1,37.99
4,A,3,2,34.77
4,B,3,3,42.78
4,C,4,1,23.74
4,B,4,2,38.58
4,A,4,3,35.02
4,A,5,1,38.31
4,C,5,2,37.76
4,B,5,3,31.59
4,B,6,1,45
4,A,6,2,36.65
4,C,6,3,48.89
4,A,7,1,58.17
4,B,7,2,43.22
4,C,7,3,49.8
4,B,8,1,37.9
4,C,8,2,40.19
4,A,8,3,45.99
4,C,9,1,35.05
4,A,9,2,39.85
4,B,9,3,46.31
4,C,10,1,48.62
4,B,10,2,42.44
4,A,10,3,48.91
4,A,11,1,44.65
4,C,11,2,41.91
4,B,11,3,45.6
4,B,12,1,47.07
4,A,12,2,57.33
4,C,12,3,59.97
4,A,13,1,33.93
4,B,13,2,32.55
4,C,13,3,39.5
4,B,14,1,40.54
4,C,14,2,49.6
4,A,14,3,45.7
4,C,15,1,35.18
4,A,15,2,34.73
4,B,15,3,38.25
4,C,16,1,37.64
4,B,16,2,31.82
4,A,16,3,36.58
4,A,17,1,36.36
4,C,17,2,39.96
4,B,17,3,43.21
4,B,18,1,41.44
4,A,18,2,38.49
4,C,18,3,41.51
4,A,19,1,47.18
4,B,19,2,36.22
4,C,19,3,36.82
4,B,20,1,30.94
4,C,20,2,29.55
4,A,20,3,35.6
4,C,21,1,33.87
4,A,21,2,37.31
4,B,21,3,35.38
4,C,22,1,34
4,B,22,2,40.99
4,A,22,3,38.62
4,A,23,1,47.44
4,C,23,2,40.47
4,B,23,3,49.17
4,B,24,1,46.95
4,A,24,2,46.11
4,C,24,3,47.92
4,A,25,1,46.63
4,B,25,2,41.12
4,C,25,3,41.13
4,B,26,1,29.52
4,C,26,2,33.86
4,A,26,3,42.86
4,C,27,1,40.77
4,A,27,2,50.5
4,B,27,3,41.42
4,C,28,1,38.74
4,B,28,2,39.72
4,A,28,3,51.48
4,A,29,1,38.77
4,C,29,2,50.17
4,B,29,3,46.26
4,B,30,1,43
4,A,30,2,41.24
4,C,30,3,49.91
4,A,31,1,46.62
4,B,31,2,45.05
4,C,31,3,48.28
4,B,32,1,36.52
4,C,32,2,37.39
4,A,32,3,39.29
4,C,33,1,26.99
4,A,33,2,37.01
4,B,33,3,34.26
4,C,34,1,41.57
4,B,34,2,35.57
4,A,34,3,30.21
4,A,35,1,37.68
4,C,35,2,37.84
4,B,35,3,37.08
4,B,36,1,48.63
4,A,36,2,46.38
4,C,36,3,43.89
4,A,37,1,44.31
4,B,37,2,43.46
4,C,37,3,40.56
4,B,38,1,40.63
4,C,38,2,46.27
4,A,38,3,43.39
4,C,39,1,32.97
4,A,39,2,37.67
4,B,39,3,41
4,C,40,1,50.48
4,B,40,2,48.08
4,A,40,3,53.1
4,A,41,1,40.34
4,C,41,2,41.68
4,B,41,3,53.79
4,B,42,1,29.2
4,A,42,2,38.83
4,C,42,3,33.18
4,A,43,1,42.64
4,B,43,2,32.45
4,C,43,3,33.53
4,B,44,1,43.44
4,C,44,2,38.44
4,A,44,3,35.29
4,C,45,1,49.6
4,A,45,2,40.05
4,B,45,3,48.45
4,C,46,1,33.39
4,B,46,2,31.73
4,A,46,3,43.45
4,A,47,1,39.95
4,C,47,2,40.94
4,B,47,3,49.06
4,B,48,1,43.96
4,A,48,2,50.29
4,C,48,3,45.57
4,A,49,1,41.95
4,B,49,2,38.1
4,C,49,3,47.95
4,B,50,1,41.12
4,C,50,2,35.93
4,A,50,3,33.61
4,C,51,1,48.88
4,A,51,2,49.84
4,B,51,3,41.28
4,C,52,1,34.45
4,B,52,2,36.7
4,A,52,3,38.65
4,A,53,1,49.89
4,C,53,2,37.8
4,B,53,3,49.1
4,B,54,1,39.29
4,A,54,2,36.11
4,C,54,3,33.26
5,A,1,1,44.74
5,B,1,2,50.2
5,C,1,3,44.32
5,B,2,1,53.81
5,C,2,2,39.36
5,A,2,3,46.31
5,C,3,1,40.62
5,A,3,2,41.17
5,B,3,3,37
5,C,4,1,37.37
5,B,4,2,38.72
5,A,4,3,56.83
5,A,5,1,48.92
5,C,5,2,42.59
5,B,5,3,58.82
5,B,6,1,51.09
5,A,6,2,41.85
5,C,6,3,43.34
5,A,7,1,45.24
5,B,7,2,38.82
5,C,7,3,34.59
5,B,8,1,40.75
5,C,8,2,41.77
5,A,8,3,45.52
5,C,9,1,49.9
5,A,9,2,55.81
5,B,9,3,56.82
5,C,10,1,46.27
5,B,10,2,37.42
5,A,10,3,42.94
5,A,11,1,48.42
5,C,11,2,46.98
5,B,11,3,53.18
5,B,12,1,44.3
5,A,12,2,45.26
5,C,12,3,37.05
6,A,1,1,32.5
6,B,1,2,41.77
6,C,1,3,33.74
6,B,2,1,45.69
6,C,2,2,39.15
6,A,2,3,42.88
6,C,3,1,33.05
6,A,3,2,36.05
6,B,3,3,45.77
6,C,4,1,40.48
6,B,4,2,46.49
6,A,4,3,53.49
6,A,5,1,38.75
6,C,5,2,27.67
6,B,5,3,33.46
6,B,6,1,27.5
6,A,6,2,31.69
6,C,6,3,30.88
6,A,7,1,38.21
6,B,7,2,44.04
6,C,7,3,37.8
6,B,8,1,34.37
6,C,8,2,39.16
6,A,8,3,48.29
6,C,9,1,35.11
6,A,9,2,31.97
6,B,9,3,37.58
6,C,10,1,36.62
6,B,10,2,49.4
6,A,10,3,48.07
6,A,11,1,50.38
6,C,11,2,33.01
6,B,11,3,30.51
6,B,12,1,41.26
6,A,12,2,38.59
6,C,12,3,37.36
6,A,13,1,42.89
6,B,13,2,42.46
6,C,13,3,41.21
6,B,14,1,51.12
6,C,14,2,41.83
6,A,14,3,40.61
6,C,15,1,30.91
6,A,15,2,40.01
6,B,15,3,49.12
6,C,16,1,35.22
6,B,16,2,37.8
6,A,16,3,40.01
6,A,17,1,33.63
6,C,17,2,38.84
6,B,17,3,44.69
6,B,18,1,45.41
6,A,18,2,38.77
6,C,18,3,41
6,A,19,1,34.61
6,B,19,2,39.24
6,C,19,3,32.08
6,B,20,1,35.73
6,C,20,2,33.2
6,A,20,3,36.32
6,C,21,1,33.14
6,A,21,2,32.19
6,B,21,3,27.69
6,C,22,1,34.55
6,B,22,2,35.49
6,A,22,3,43.33
6,A,23,1,42.08
6,C,23,2,51.08
6,B,23,3,52.63
6,B,24,1,44.22
6,A,24,2,41.12
6,C,24,3,44.85
6,A,25,1,36.12
6,B,25,2,39.71
6,C,25,3,40.77
6,B,26,1,38.96
6,C,26,2,41.02
6,A,26,3,44.26
6,C,27,1,36.17
6,A,27,2,28.18
6,B,27,3,31.34
6,C,28,1,27.36
6,B,28,2,40.46
6,A,28,3,40.16
6,A,29,1,33.15
6,C,29,2,30.58
6,B,29,3,41.64
6,B,30,1,44.08
6,A,30,2,42.72
6,C,30,3,41.13
6,A,31,1,39
6,B,31,2,49.55
6,C,31,3,46.69
6,B,32,1,32.67
6,C,32,2,20.82
6,A,32,3,21.53
6,C,33,1,27.5
6,A,33,2,36.08
6,B,33,3,31.86
6,C,34,1,27.91
6,B,34,2,31.31
6,A,34,3,41.25
6,A,35,1,40.63
6,C,35,2,31.96
6,B,35,3,36.92
6,B,36,1,35.07
6,A,36,2,32.48
6,C,36,3,29.32
6,A,37,1,25.9
6,B,37,2,39.03
6,C,37,3,15.78
6,B,38,1,39.78
6,C,38,2,32.77
6,A,38,3,36.04
6,C,39,1,32.16
6,A,39,2,38.85
6,B,39,3,41.11
6,C,40,1,35.84
6,B,40,2,33.93
6,A,40,3,40.68
6,A,41,1,41.91
6,C,41,2,39.24
6,B,41,3,36.07
6,B,42,1,42.88
6,A,42,2,42.94
6,C,42,3,31.23
6,A,43,1,33.4
6,B,43,2,26.64
6,C,43,3,25.69
6,B,44,1,28.76
6,C,44,2,43.67
6,A,44,3,35.55
6,C,45,1,24.44
6,A,45,2,28.27
6,B,45,3,23.66
6,C,46,1,35.84
6,B,46,2,41.63
6,A,46,3,47.68
6,A,47,1,39.74
6,C,47,2,39.99
6,B,47,3,38.43
6,B,48,1,40.58
6,A,48,2,36.16
6,C,48,3,29.11
6,A,49,1,30.73
6,B,49,2,37.05
6,C,49,3,33.9
6,B,50,1,24.49
6,C,50,2,32.47
6,A,50,3,32.34
6,C,51,1,29.57
6,A,51,2,29.93
6,B,51,3,31.71
6,C,52,1,44.42
6,B,52,2,43.35
6,A,52,3,48.27
6,A,53,1,37.22
6,C,53,2,21.13
6,B,53,3,28.43
6,B,54,1,47.66
6,A,54,2,42.71
6,C,54,3,29.01
7,A,1,1,56.28
7,B,1,2,51.27
7,C,1,3,44.14
7,B,2,1,56.37
7,C,2,2,42.16
7,A,2,3,37.84
7,C,3,1,46.75
7,A,3,2,42.23
7,B,3,3,27.69
7,C,4,1,46.5
7,B,4,2,54.02
7,A,4,3,48.54
7,A,5,1,52.12
7,C,5,2,48.83
7,B,5,3,51.13
7,B,6,1,59.03
7,A,6,2,49.83
7,C,6,3,41.19
7,A,7,1,35.85
7,B,7,2,39.58
7,C,7,3,38.32
7,B,8,1,48.88
7,C,8,2,40.59
7,A,8,3,38.2
7,C,9,1,41.93
7,A,9,2,49.59
7,B,9,3,46.12
7,C,10,1,37.76
7,B,10,2,43.44
7,A,10,3,40.75
7,A,11,1,41.73
7,C,11,2,41.36
7,B,11,3,49.31
7,B,12,1,54.07
7,A,12,2,51.27
7,C,12,3,37.3
7,A,13,1,44.47
7,B,13,2,48.02
7,C,13,3,49.67
7,B,14,1,54.81
7,C,14,2,57.4
7,A,14,3,56.72
7,C,15,1,49.74
7,A,15,2,50.05
7,B,15,3,55.09
7,C,16,1,35.84
7,B,16,2,39.73
7,A,16,3,21.31
7,A,17,1,44.25
7,C,17,2,52.57
7,B,17,3,47.63
7,B,18,1,53.11
7,A,18,2,44.98
7,C,18,3,48.28
7,A,19,1,53.52
7,B,19,2,53.63
7,C,19,3,50.08
7,B,20,1,49.29
7,C,20,2,47.72
7,A,20,3,45.77
7,C,21,1,56.39
7,A,21,2,38.95
7,B,21,3,46.9
7,C,22,1,32.24
7,B,22,2,44.83
7,A,22,3,38.63
7,A,23,1,45.21
7,C,23,2,44.49
7,B,23,3,55.48
7,B,24,1,54.73
7,A,24,2,47.45
7,C,24,3,50.04
8,A,1,1,42.29
8,B,1,2,43.41
8,C,1,3,42.85
8,B,2,1,41.3
8,C,2,2,38.74
8,A,2,3,46.67
8,C,3,1,40.43
8,A,3,2,28.66
8,B,3,3,28.46
8,C,4,1,42.76
8,B,4,2,39.67
8,A,4,3,45.48
8,A,5,1,44.72
8,C,5,2,50.66
8,B,5,3,49.44
8,B,6,1,29.59
8,A,6,2,42.79
8,C,6,3,22.41
8,A,7,1,47.81
8,B,7,2,49.87
8,C,7,3,43.59
8,B,8,1,32.24
8,C,8,2,53.29
8,A,8,3,49.37
8,C,9,1,50.6
8,A,9,2,57.84
8,B,9,3,51.22
8,C,10,1,36.64
8,B,10,2,35.03
8,A,10,3,47.15
8,A,11,1,41.2
8,C,11,2,37.72
8,B,11,3,35.35
8,B,12,1,42.29
8,A,12,2,41.34
8,C,12,3,27.73
9,A,1,1,28.48
9,B,1,2,23.48
9,C,1,3,15.15
9,B,2,1,38.81
9,C,2,2,21.59
9,A,2,3,39.18
9,C,3,1,35.75
9,A,3,2,41
9,B,3,3,38.09
9,C,4,1,31.42
9,B,4,2,36.78
9,A,4,3,32.75
9,A,5,1,45.5
9,C,5,2,27.97
9,B,5,3,42.41
9,B,6,1,38.57
9,A,6,2,40.22
9,C,6,3,29.06
9,A,7,1,45.13
9,B,7,2,40.35
9,C,7,3,37.75
9,B,8,1,41.17
9,C,8,2,26.71
9,A,8,3,49.23
9,C,9,1,19.13
9,A,9,2,24.45
9,B,9,3,30.63
9,C,10,1,33.18
9,B,10,2,36.66
9,A,10,3,37.13
9,A,11,1,49.73
9,C,11,2,45.94
9,B,11,3,35.96
9,B,12,1,43.83
9,A,12,2,40.69
9,C,12,3,43.09
10,A,1,1,32.29
10,B,1,2,39.03
10,C,1,3,16.77
10,B,2,1,42.87
10,C,2,2,32.8
10,A,2,3,39.89
10,C,3,1,39.64
10,A,3,2,49.83
10,B,3,3,38.94
10,C,4,1,36.71
10,B,4,2,32.99
10,A,4,3,32.73
10,A,5,1,43.71
10,C,5,2,45.68
10,B,5,3,43.8
10,B,6,1,26.76
10,A,6,2,32.75
10,C,6,3,29.72
10,A,7,1,33.23
10,B,7,2,24.71
10,C,7,3,23.49
10,B,8,1,34.59
10,C,8,2,32.46
10,A,8,3,43.76
10,C,9,1,48.05
10,A,9,2,50.6
10,B,9,3,36.87
10,C,10,1,29.9
10,B,10,2,34.22
10,A,10,3,43.63
10,A,11,1,37.57
10,C,11,2,39.8
10,B,11,3,40.32
10,B,12,1,51.23
10,A,12,2,41.19
10,C,12,3,43.93
10,A,13,1,41.58
10,B,13,2,41.31
10,C,13,3,32.44
10,B,14,1,41.74
10,C,14,2,33.53
10,A,14,3,39.04
10,C,15,1,29.86
10,A,15,2,35.26
10,B,15,3,31.76
10,C,16,1,24.69
10,B,16,2,27.34
10,A,16,3,30.76
10,A,17,1,50.13
10,C,17,2,33.1
10,B,17,3,36.4
10,B,18,1,31.26
10,A,18,2,40.66
10,C,18,3,32.91
10,A,19,1,38.12
10,B,19,2,26.17
10,C,19,3,32.72
10,B,20,1,34.77
10,C,20,2,41.29
10,A,20,3,48.31
10,C,21,1,39.66
10,A,21,2,54.57
10,B,21,3,30.14
10,C,22,1,32.8
10,B,22,2,33.53
10,A,22,3,36.66
10,A,23,1,46.41
10,C,23,2,40.98
10,B,23,3,43.11
10,B,24,1,29.99
10,A,24,2,39.38
10,C,24,3,34.18
10,A,25,1,41.17
10,B,25,2,38.55
10,C,25,3,27.84
10,B,26,1,42.54
10,C,26,2,30.72
10,A,26,3,32.42
10,C,27,1,31.12
10,A,27,2,35.06
10,B,27,3,28.7
10,C,28,1,42.81
10,B,28,2,44.73
10,A,28,3,51.56
10,A,29,1,41.91
10,C,29,2,52.11
10,B,29,3,39.45
10,B,30,1,19.07
10,A,30,2,33.83
10,C,30,3,20.08
10,A,31,1,41.08
10,B,31,2,43.8
10,C,31,3,38.74
10,B,32,1,46.4
10,C,32,2,45.31
10,A,32,3,43.85
10,C,33,1,19.46
10,A,33,2,27.49
10,B,33,3,17.56
10,C,34,1,38.84
10,B,34,2,38.17
10,A,34,3,41.17
10,A,35,1,46.93
10,C,35,2,39.98
10,B,35,3,38.8
10,B,36,1,8
10,A,36,2,19.71
10,C,36,3,14.12
10,A,37,1,38.78
10,B,37,2,43.87
10,C,37,3,40.98
10,B,38,1,30.1
10,C,38,2,39.19
10,A,38,3,28.9
10,C,39,1,34.01
10,A,39,2,41.4
10,B,39,3,23.93
10,C,40,1,28.68
10,B,40,2,39.08
10,A,40,3,40.55
10,A,41,1,48.02
10,C,41,2,42.21
10,B,41,3,35.94
10,B,42,1,39.47
10,A,42,2,46.14
10,C,42,3,34.21
10,A,43,1,51.55
10,B,43,2,43.94
10,C,43,3,35.27
10,B,44,1,39.81
10,C,44,2,41.19
10,A,44,3,38.86
10,C,45,1,29.63
10,A,45,2,42.83
10,B,45,3,28.35
10,C,46,1,26.25
10,B,46,2,37.65
10,A,46,3,37.68
10,A,47,1,49.67
10,C,47,2,44.41
10,B,47,3,32.8
10,B,48,1,41.15
10,A,48,2,37.28
10,C,48,3,40.54
10,A,49,1,36.24
10,B,49,2,34.3
10,C,49,3,32.16
10,B,50,1,40.28
10,C,50,2,42.3
10,A,50,3,45.6
10,C,51,1,24.3
10,A,51,2,45.09
10,B,51,3,15.86
10,C,52,1,25.22
10,B,52,2,31.28
10,A,52,3,40.71
10,A,53,1,53.78
10,C,53,2,48.63
10,B,53,3,45.46
10,B,54,1,34.29
10,A,54,2,47.96
10,C,54,3,41.79
11,A,1,1,58.37
11,B,1,2,63.37
11,C,1,3,59.1
11,B,2,1,44.81
11,C,2,2,59.04
11,A,2,3,42.26
11,C,3,1,31.33
11,A,3,2,43.59
11,B,3,3,40.17
11,C,4,1,43.15
11,B,4,2,54.85
11,A,4,3,48.94
11,A,5,1,29.27
11,C,5,2,41.29
11,B,5,3,25.81
11,B,6,1,33.39
11,A,6,2,52.2
11,C,6,3,39.45
11,A,7,1,40.44
11,B,7,2,40.64
11,C,7,3,29.85
11,B,8,1,41.94
11,C,8,2,43.39
11,A,8,3,46.88
11,C,9,1,37.68
11,A,9,2,40.42
11,B,9,3,43.83
11,C,10,1,54.2
11,B,10,2,48.78
11,A,10,3,46.07
11,A,11,1,50.2
11,C,11,2,45.03
11,B,11,3,44.52
11,B,12,1,41.71
11,A,12,2,46.5
11,C,12,3,50.13
11,A,13,1,40.48
11,B,13,2,39.09
11,C,13,3,32.76
11,B,14,1,56.93
11,C,14,2,49.83
11,A,14,3,53.69
11,C,15,1,41.23
11,A,15,2,47.66
11,B,15,3,39.98
11,C,16,1,36.44
11,B,16,2,39.3
11,A,16,3,30.22
11,A,17,1,24.57
11,C,17,2,27.03
11,B,17,3,35.67
11,B,18,1,29.78
11,A,18,2,39.37
11,C,18,3,35.19
11,A,19,1,36.59
11,B,19,2,47.55
11,C,19,3,45.53
11,B,20,1,40.45
11,C,20,2,47.01
11,A,20,3,38.41
11,C,21,1,40.88
11,A,21,2,35.94
11,B,21,3,32.81
11,C,22,1,35.66
11,B,22,2,48.74
11,A,22,3,36.27
11,A,23,1,33.74
11,C,23,2,38.64
11,B,23,3,38.81
11,B,24,1,39.26
11,A,24,2,33
11,C,24,3,27.79
11,A,25,1,43.55
11,B,25,2,49.73
11,C,25,3,49.9
11,B,26,1,45.24
11,C,26,2,49.23
11,A,26,3,37.74
11,C,27,1,23.93
11,A,27,2,27.65
11,B,27,3,26.91
11,C,28,1,36.27
11,B,28,2,28.61
11,A,28,3,39.32
11,A,29,1,41.51
11,C,29,2,35.48
11,B,29,3,36.81
11,B,30,1,39.06
11,A,30,2,36.22
11,C,30,3,36.09
12,A,1,1,40.19
12,B,1,2,48.24
12,C,1,3,34.65
12,B,2,1,32.04
12,C,2,2,33.39
12,A,2,3,37.32
12,C,3,1,34.2
12,A,3,2,38.57
12,B,3,3,49.97
12,C,4,1,37.27
12,B,4,2,29.76
12,A,4,3,43.13
12,A,5,1,39.5
12,C,5,2,40.84
12,B,5,3,41.36
12,B,6,1,40.4
12,A,6,2,38.72
12,C,6,3,33.47
12,A,7,1,47.57
12,B,7,2,45.9
12,C,7,3,40.61
12,B,8,1,48.27
12,C,8,2,40.65
12,A,8,3,46.85
12,C,9,1,33.66
12,A,9,2,47.73
12,B,9,3,39.55
12,C,10,1,31.52
12,B,10,2,36.5
12,A,10,3,48.86
12,A,11,1,30.31
12,C,11,2,33.56
12,B,11,3,39.47
12,B,12,1,42.91
12,A,12,2,43.42
12,C,12,3,43.29
13,A,1,1,37.85
13,B,1,2,43.31
13,C,1,3,41.28
13,B,2,1,25.48
13,C,2,2,19.78
13,A,2,3,32.18
13,C,3,1,36.75
13,A,3,2,29.47
13,B,3,3,41.12
13,C,4,1,31.04
13,B,4,2,35.84
13,A,4,3,28.64
13,A,5,1,38.28
13,C,5,2,28.5
13,B,5,3,34.74
13,B,6,1,42.84
13,A,6,2,46.55
13,C,6,3,42.98
13,A,7,1,28.28
13,B,7,2,38.94
13,C,7,3,39.39
13,B,8,1,44.77
13,C,8,2,38.43
13,A,8,3,47.29
13,C,9,1,35.8
13,A,9,2,38.93
13,B,9,3,51.76
13,C,10,1,34.62
13,B,10,2,46.84
13,A,10,3,47.52
13,A,11,1,35.65
13,C,11,2,42.16
13,B,11,3,39.86
13,B,12,1,39.99
13,A,12,2,38.33
13,C,12,3,35.12
13,A,13,1,38.03
13,B,13,2,56.62
13,C,13,3,35.61
13,B,14,1,40.7
13,C,14,2,38.21
13,A,14,3,42.53
13,C,15,1,30.03
13,A,15,2,33.78
13,B,15,3,32.66
13,C,16,1,33.78
13,B,16,2,35.12
13,A,16,3,35.76
13,A,17,1,35.57
13,C,17,2,35.35
13,B,17,3,46.13
13,B,18,1,33.38
13,A,18,2,38
13,C,18,3,30.64
13,A,19,1,32.7
13,B,19,2,31.08
13,C,19,3,35.71
13,B,20,1,41.38
13,C,20,2,38.2
13,A,20,3,36.33
13,C,21,1,35.06
13,A,21,2,40.48
13,B,21,3,46.57
13,C,22,1,35.59
13,B,22,2,40.74
13,A,22,3,33.47
13,A,23,1,44.4
13,C,23,2,44.39
